Name,URL,Type,Location,Address,Cuisines,Cost_for_Two,Timings,Rating,Votes
"Al Amanah Cafe ",https://www.zomato.com/bangalore/al-amanah-cafe-1-kammanahalli,Quick Bites,Kammanahalli,"20, 5th Avenue, 5th Main Road, Kammanahalli, Bangalore","Middle Eastern, Fast Food",₹300,"11:30AM to 11:30PM (Mon-Thu),4PM to 11:30PM... ","4.1 ",844 votes
"ThrowBack - Pub & Dine ",https://www.zomato.com/bangalore/throwback-pub-dine-langford-town,"Bar,Casual Dining",Langford Town,"5th Floor, Confident Hotel, Hosur Main Road, Langford Town, Bangalore","Italian, North Indian, Continental","₹1,000","11AM to 1AM (Mon, Tue, Wed, Thu, Sun), 11AM to 4AM... ","3.8 ",124 votes
"Zero Mile Punjab ",https://www.zomato.com/bangalore/zero-mile-punjab-hsr,Casual Dining,HSR,"5th Floor, L167, Outer Ring Road, Service Lane, Sector 6, HSR, Bangalore","North Indian, Mughlai",₹900,"12Noon to 3:30PM, 7PM to 11PM (Mon, Tue, Wed, Fri... ","3.9 ",906 votes
"i-Bar - The Park Bangalore ",https://www.zomato.com/bangalore/i-bar-the-park-bangalore-mg-road,Lounge,"The Park, MG Road","The Park Bangalore, 14/7, MG Road, Bangalore","North Indian, Chinese, Mediterranean","₹3,000","6PM to 1AM (Mon-Sun) ","3.5 ",503 votes
"The Colony Gastropub ",https://www.zomato.com/bangalore/the-colony-gastropub-hsr,"Casual Dining,Bar",HSR,"1669, 3rd and 4th Floor, 27th Main Road, Sector 2, PWD Quarters, HSR Layout","Modern Indian, Continental","₹1,200","1PM to 1AM (Mon-Sun) ","4.0 ",217 votes
"Avista Cafe Pizzeria ",https://www.zomato.com/bangalore/avista-cafe-pizzeria-kalyan-nagar,Casual Dining,Kalyan Nagar,"356, 1st Floor, Hennur Main Road, Opposite Grace Garden Apartment, Kalyan Nagar, Bangalore","Italian, Continental, American",₹600,"11:30AM to 11PM (Mon-Sun) ","3.9 ",125 votes
"Windsor Pub ",https://www.zomato.com/bangalore/windsor-pub-indiranagar,"Casual Dining,Bar",Indiranagar,"968, 12th Main, Off 100 Feet Road, Indiranagar, Bangalore","Continental, Mangalorean, South Indian","₹1,200","11:30AM to 3PM, 7PM to 11:30PM (Mon-Thu),11:30AM to... ","4.0 ",890 votes
"The Haldi ",https://www.zomato.com/bangalore/the-haldi-marathahalli,Casual Dining,Marathahalli,"92/5, ACR Greens, 4th Floor, Opposite Home Town, Marathahalli, Bangalore","Biryani, North Indian, Chinese, Mughlai, Kebab",₹900,"11:30AM to 3PM, 7PM to 11:30PM (Mon-Sun) ","3.9 ",232 votes
"Krazy Factory ",https://www.zomato.com/bangalore/krazy-factory-koramangala-5th-block,Café,Koramangala 5th Block,"150/1/2, Hosur Main Road, Kaveri Layout, Koramangala 5th Block, Bangalore","Chinese, Cafe, Continental, Italian",₹600,"11AM to 11PM (Mon-Sun) ","3.7 ",217 votes
"On The Edge ",https://www.zomato.com/bangalore/on-the-edge-mg-road,Casual Dining,Barton Centre,"84, 13th Floor, Barton Center, MG Road, Bangalore","Asian, Thai","₹1,800","12:30PM to 3PM, 7PM to 11:30PM (Mon-Sun) ","4.1 ",648 votes
"Starbucks ",https://www.zomato.com/bangalore/starbucks-koramangala-7th-block,Café,Koramangala 7th Block,"Ground Floor, Near Forum Mall, Industrial Layout, Koramangala 7th Block, Bangalore","Cafe, Desserts",₹700,"9AM to 1AM (Mon-Sun) ","3.9 ",1248 votes
"Zhangs ",https://www.zomato.com/bangalore/zhangs-jp-nagar,Casual Dining,JP Nagar,"1743, Raghavendra Plaza , 2nd Phase, (Near Diwakars Hospital), JP Nagar, Bangalore",Chinese,₹700,"12Noon to 3:30PM, 7PM to 10:30PM (Mon-Sun) ","3.8 ",467 votes
"Bottle & Glass ",https://www.zomato.com/bangalore/bottle-glass-indiranagar,"Bar,Casual Dining",Indiranagar,"256, 2nd Floor, Defense Colony, 100 Feet Road, Indiranagar, Bangalore","Continental, Chinese, South Indian","₹1,400","11AM to 1AM (Mon-Sun) ","3.9 ",776 votes
"The Royal Corner - Pai Viceroy ",https://www.zomato.com/bangalore/the-royal-corner-pai-viceroy-jayanagar,Casual Dining,Jayanagar,"Pai Viceroy, 1504, 16th Cross, 9th Main, 3rd Block, Jayanagar, Bangalore","North Indian, Chinese",₹900,"7AM to 10:30AM, 12:30PM to 3:30PM, 7PM to 10:30PM... ","3.9 ",582 votes
"Khawa Karpo ",https://www.zomato.com/bangalore/khawa-karpo-koramangala-5th-block,Quick Bites,Koramangala 5th Block,"50/1, Near Jyothi Nivas College, Koramangala 5th Block, Bangalore","Chinese, Tibetan",₹350,"12:30PM to 10:30PM (Mon-Sun) ","4.1 ",582 votes
"The Fat Chef ",https://www.zomato.com/bangalore/the-fat-chef-whitefield,Casual Dining,Whitefield,"5/2A, Jagrithi, Ramagondanahalli, Whitefield, Bangalore","Japanese, Italian, American, Asian, North Indian, Steak","₹1,400","11AM to 3:30PM, 6PM to 11PM (Mon-Fri),11AM to 11PM... ","3.8 ",1502 votes
"Based On A True Story- Bistro ",https://www.zomato.com/bangalore/based-on-a-true-story-bistro-kalyan-nagar,Café,Kalyan Nagar,"4th Cross, 7th Main, 80ft Road, Venkatamma Layout, Subbaiahnapalya, Banswadi, Kalyan Nagar, Bangalore",Cafe,₹600,"Closed (Mon),11AM to 10PM (Tue-Sun) ","4.4 ",300 votes
"Bathinda Dine ",https://www.zomato.com/bangalore/bathinda-dine-indiranagar,Casual Dining,Indiranagar,"2nd Floor, 295/296, 100 Feet Road, 1st Stage, Indiranagar, Bangalore",North Indian,₹700,"11AM to 11PM (Mon-Sun) ","3.9 ",348 votes
"Market Table ",https://www.zomato.com/bangalore/market-table-koramangala-5th-block,Casual Dining,Koramangala 5th Block,"10, Fifth A Block, 17th B Main, Koramangala 5th Block, Bangalore","Mediterranean, Continental, Salad, Middle Eastern, European",₹400,"8:30AM to 10:30PM (Mon-Sun) ","4.5 ",76 votes
"BYLI - Bet You Love It! ",https://www.zomato.com/bangalore/byli-bet-you-love-it-kalyan-nagar,Casual Dining,Kalyan Nagar,"G-1/2, First Avenue, 5th Main, 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore","Continental, Italian, Mexican, Asian",₹800,"9AM to 11PM (Mon-Sun) ","4.1 ",1717 votes
"JustBe Cafe ",https://www.zomato.com/justbecafe,Café,Sadashiv Nagar,"383/31, 13th Cross, Sadashiv Nagar, Bangalore","Cafe, Beverages, Healthy Food","₹1,000","11AM to 10PM (Mon-Fri),11AM to 11PM (Sat-Sun) ","4.3 ",259 votes
"Happy Brew ",https://www.zomato.com/bangalore/happy-brew-koramangala-5th-block,Lounge,Koramangala 5th Block,"40, 4th P Cross, Koramangala 5th Block, Bangalore","Continental, American, Chinese, BBQ, Salad","₹1,000","11AM to 11PM (Mon),11AM to 12Midnight (Tue-Thu),11AM... ","3.4 ",1790 votes
"Hatch ",https://www.zomato.com/bangalore/hatch-yeshwantpur,Pub,Yeshwantpur,"45/4, Next to Yeshwanthpur Metro Station, Opposite to More Hypermarket, Tumkur Road, Yeshwantpur, Bangalore","Finger Food, Continental, Burger","₹1,000","10:30AM to 12:30AM (Mon-Sun) ","4.0 ",110 votes
